Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ4KzLdrJGM29xH8 Path: Analisi-1:plc4j/drivers/bacnet/src/main/java/org/apache/plc4x/java/bacnetip/readwrite/utils/StaticHelper.java - startLine: 669;startOffset: 57;endOffset: 80;endLine: 669,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename memoryArea which hides the field declared at line 77.""",MAJOR,5min,Key: AYTizQClrw1gdFIeCCje Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/tag/S7Tag.java - startLine: 344;startOffset: 15;endOffset: 25;endLine: 344,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename outboundBuffer which hides the field declared at line 234.""",MAJOR,5min,Key: AYRYwKWVzLdrJGM29xy_ Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannel.java - startLine: 554;startOffset: 40;endOffset: 54;endLine: 554,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename outboundBuffer which hides the field declared at line 234.""",MAJOR,5min,Key: AYRYwKWVzLdrJGM29xy- Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannel.java - startLine: 538;startOffset: 34;endOffset: 48;endLine: 538,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename outboundBuffer which hides the field declared at line 234.""",MAJOR,5min,Key: AYRYwKWVzLdrJGM29xy6 Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannel.java - startLine: 497;startOffset: 34;endOffset: 48;endLine: 497,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename pipeline which hides the field declared at line 55.""",MAJOR,5min,Key: AYRYwKWVzLdrJGM29xyp Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannel.java - startLine: 265;startOffset: 34;endOffset: 42;endLine: 265,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename properties which hides the field declared at line 66.""",MAJOR,5min,Key: AYRYwKM-zLdrJGM29xqI Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/BasePlc4xProcessor.java - startLine: 77;startOffset: 36;endOffset: 46;endLine: 77,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename protocol which hides the field declared at line 50.""",MAJOR,5min,Key: AYRYwJs9zLdrJGM29w-9 Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/CustomProtocolStackConfigurer.java - startLine: 99;startOffset: 45;endOffset: 53;endLine: 99,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename relationships which hides the field declared at line 67.""",MAJOR,5min,Key: AYRYwKM-zLdrJGM29xqJ Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/BasePlc4xProcessor.java - startLine: 82;startOffset: 29;endOffset: 42;endLine: 82,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename salt which hides the field declared at line 41.""",MAJOR,5min,Key: AYRYwKOEzLdrJGM29xrW Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/configuration/User.java - startLine: 51;startOffset: 15;endOffset: 19;endLine: 51,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename sequenceCounter which hides the field declared at line 70.""",MAJOR,5min,Key: AYRYwJyqzLdrJGM29xC- Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/protocol/KnxNetIpProtocolLogic.java - startLine: 437;startOffset: 28;endOffset: 43;endLine: 437,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename symbolicAddress which hides the field declared at line 42.""",MAJOR,5min,Key: AYTizP_Srw1gdFIeCCit Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/tag/SymbolicAdsTag.java - startLine: 115;startOffset: 15;endOffset: 30;endLine: 115,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ-nzLdrJGM29xgI Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/context/CertificateGenerator.java - startLine: 46;startOffset: 13;endOffset: 33;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ0szLdrJGM29xEd Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/readwrite/utils/StaticHelper.java - startLine: 33;startOffset: 13;endOffset: 25;endLine: 33,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ0VzLdrJGM29xEQ Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/context/CANOpenDriverContext.java - startLine: 24;startOffset: 13;endOffset: 33;endLine: 24,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ2nzLdrJGM29xFq Path: Analisi-1:plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/protocol/Plc4XSupportedDataTypes.java - startLine: 42;startOffset: 13;endOffset: 36;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ3DzLdrJGM29xF_ Path: Analisi-1:plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/util/Assert.java - startLine: 34;startOffset: 13;endOffset: 19;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ3HzLdrJGM29xGC Path: Analisi-1:plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/util/HexUtil.java - startLine: 28;startOffset: 13;endOffset: 20;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ3yzLdrJGM29xGf Path: Analisi-1:plc4j/drivers/bacnet/src/main/java/org/apache/plc4x/java/bacnetip/ede/layouts/EdeLayoutFactory.java - startLine: 21;startOffset: 13;endOffset: 29;endLine: 21,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ4KzLdrJGM29xHj Path: Analisi-1:plc4j/drivers/bacnet/src/main/java/org/apache/plc4x/java/bacnetip/readwrite/utils/StaticHelper.java - startLine: 41;startOffset: 13;endOffset: 25;endLine: 41,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJ6dzLdrJGM29xJ_ Path: Analisi-1:plc4j/drivers/firmata/src/main/java/org/apache/plc4x/java/firmata/readwrite/utils/StaticHelper.java - startLine: 23;startOffset: 13;endOffset: 25;endLine: 23,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJlNzLdrJGM29w68 Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/EvaluationHelper.java - startLine: 21;startOffset: 13;endOffset: 29;endLine: 21,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJmLzLdrJGM29w7f Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 27;startOffset: 13;endOffset: 25;endLine: 27,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJo-zLdrJGM29w9m Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/hex/Hex.java - startLine: 35;startOffset: 13;endOffset: 16;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJp1zLdrJGM29w9_ Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldWriterFactory.java - startLine: 32;startOffset: 13;endOffset: 31;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJppzLdrJGM29w94 Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldReaderFactory.java - startLine: 32;startOffset: 13;endOffset: 31;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJqWzLdrJGM29w-J Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/io/VintIo.java - startLine: 26;startOffset: 13;endOffset: 19;endLine: 26,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJrVzLdrJGM29w-P Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/io/DataReaderFactory.java - startLine: 29;startOffset: 13;endOffset: 30;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJsDzLdrJGM29w-X Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/io/DataWriterFactory.java - startLine: 29;startOffset: 13;endOffset: 30;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwJw6zLdrJGM29xBe Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/readwrite/utils/StaticHelper.java - startLine: 25;startOffset: 13;endOffset: 25;endLine: 25,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKAGzLdrJGM29xiQ Path: Analisi-1:plc4j/drivers/c-bus/src/main/java/org/apache/plc4x/java/cbus/readwrite/utils/StaticHelper.java - startLine: 29;startOffset: 13;endOffset: 25;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKLwzLdrJGM29xo9 Path: Analisi-1:plc4j/integrations/apache-kafka/src/main/java/org/apache/plc4x/kafka/util/VersionUtil.java - startLine: 24;startOffset: 13;endOffset: 24;endLine: 24,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKLXzLdrJGM29xoi Path: Analisi-1:plc4j/integrations/apache-kafka/src/main/java/org/apache/plc4x/kafka/config/Constants.java - startLine: 21;startOffset: 13;endOffset: 22;endLine: 21,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKM5zLdrJGM29xqB Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/util/Plc4xCommon.java - startLine: 56;startOffset: 13;endOffset: 24;endLine: 56,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKO-zLdrJGM29xr- Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/internal/utils/ChannelUtil.java - startLine: 25;startOffset: 13;endOffset: 24;endLine: 25,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKP5zLdrJGM29xsc Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/migration/MessageValidatorAndMigrator.java - startLine: 44;startOffset: 13;endOffset: 40;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKP9zLdrJGM29xsk Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/migration/MessageResolver.java - startLine: 36;startOffset: 13;endOffset: 28;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKPHzLdrJGM29xsB Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/internal/utils/Delay.java - startLine: 25;startOffset: 13;endOffset: 18;endLine: 25,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKPpzLdrJGM29xsM Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/internal/validator/ApiValidator.java - startLine: 29;startOffset: 13;endOffset: 25;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKQDzLdrJGM29xst Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/migration/TestCasePatcher.java - startLine: 31;startOffset: 13;endOffset: 28;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKR_zLdrJGM29xvc Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/java/s7/utils/StaticHelper.java - startLine: 32;startOffset: 13;endOffset: 25;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKRFzLdrJGM29xtR Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/hex/HexDiff.java - startLine: 28;startOffset: 13;endOffset: 20;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKRPzLdrJGM29xtU Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/xml/XmlHelper.java - startLine: 30;startOffset: 13;endOffset: 22;endLine: 30,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKS0zLdrJGM29xwS Path: Analisi-1:plc4j/utils/pcap-shared/src/main/java/org/apache/plc4x/java/utils/pcap/netty/config/PcapChannelOption.java - startLine: 24;startOffset: 13;endOffset: 30;endLine: 24,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKV4zLdrJGM29xyX Path: Analisi-1:plc4j/transports/socketcan/src/main/java/org/apache/plc4x/java/socketcan/readwrite/utils/StaticHelper.java - startLine: 21;startOffset: 13;endOffset: 25;endLine: 21,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYRYwKWxzLdrJGM29xzO Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannelOptions.java - startLine: 23;startOffset: 13;endOffset: 33;endLine: 23,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Hide this public constructor.""",MAJOR,5min,Key: AYRYwKUKzLdrJGM29xxF Path: Analisi-1:plc4j/examples/hello-discovery/src/main/java/org/apache/plc4x/java/examples/hellodiscovery/CliOptions.java - startLine: 73;startOffset: 11;endOffset: 21;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1119:  ""Refactor the code to remove this label and the need for it.""",MAJOR,30min,Key: AYRYwJmazLdrJGM29w8F Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/WriteBufferBoxBased.java - startLine: 247;startOffset: 8;endOffset: 18;endLine: 247,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1119:  ""Refactor the code to remove this label and the need for it.""",MAJOR,30min,Key: AYRYwJwGzLdrJGM29xBC Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/Plc4xNettyWrapper.java - startLine: 141;startOffset: 8;endOffset: 21;endLine: 141,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1119:  ""Refactor the code to remove this label and the need for it.""",MAJOR,30min,Key: AYRYwKSWzLdrJGM29xvz Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/RawSocketChannel.java - startLine: 122;startOffset: 12;endOffset: 22;endLine: 122,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJ-ZzLdrJGM29xfx Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/context/CertificateKeyPair.java - startLine: 31;startOffset: 83;endOffset: 92;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJ0ezLdrJGM29xEX Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/api/conversation/canopen/CANOpenConversationBase.java - startLine: 69;startOffset: 18;endOffset: 34;endLine: 69,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJ2_zLdrJGM29xF9 Path: Analisi-1:plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/connection/tcp/TcpHexDumper.java - startLine: 122;startOffset: 32;endOffset: 41;endLine: 122,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJ5EzLdrJGM29xIO Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 367;startOffset: 46;endOffset: 62;endLine: 367,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJ5EzLdrJGM29xIP Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 396;startOffset: 54;endOffset: 70;endLine: 396,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJ5SzLdrJGM29xJR Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/discovery/AdsPlcDiscoverer.java - startLine: 188;startOffset: 42;endOffset: 58;endLine: 188,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJ5SzLdrJGM29xJS Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/discovery/AdsPlcDiscoverer.java - startLine: 195;startOffset: 22;endOffset: 38;endLine: 195,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJmLzLdrJGM29w7c Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 35;startOffset: 30;endOffset: 46;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJmLzLdrJGM29w7d Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 47;startOffset: 30;endOffset: 46;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJmLzLdrJGM29w7e Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 54;startOffset: 18;endOffset: 34;endLine: 54,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJmPzLdrJGM29w7m Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/io/MyDefaultBitInput.java - startLine: 53;startOffset: 22;endOffset: 38;endLine: 53,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJo-zLdrJGM29w9d Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/hex/Hex.java - startLine: 181;startOffset: 22;endOffset: 38;endLine: 181,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJtyzLdrJGM29w_Q Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/messages/utils/ResponseItem.java - startLine: 53;startOffset: 26;endOffset: 42;endLine: 53,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJw6zLdrJGM29xBc Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/readwrite/utils/StaticHelper.java - startLine: 34;startOffset: 22;endOffset: 38;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJw6zLdrJGM29xBd Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/readwrite/utils/StaticHelper.java - startLine: 61;startOffset: 22;endOffset: 38;endLine: 61,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwJwMzLdrJGM29xBE Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/Plc4xProtocolBase.java - startLine: 66;startOffset: 72;endOffset: 81;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKa-zLdrJGM29x1a Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionStringParser.java - startLine: 46;startOffset: 22;endOffset: 38;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKa6zLdrJGM29x1O Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionStringListener.java - startLine: 71;startOffset: 22;endOffset: 38;endLine: 71,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKa6zLdrJGM29x1P Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionStringListener.java - startLine: 74;startOffset: 22;endOffset: 38;endLine: 74,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKa6zLdrJGM29x1Q Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionStringListener.java - startLine: 457;startOffset: 22;endOffset: 38;endLine: 457,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKa6zLdrJGM29x1R Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionStringListener.java - startLine: 465;startOffset: 22;endOffset: 38;endLine: 465,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKa6zLdrJGM29x1S Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionStringListener.java - startLine: 474;startOffset: 22;endOffset: 38;endLine: 474,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKanzLdrJGM29x0n Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatParser.java - startLine: 54;startOffset: 22;endOffset: 38;endLine: 54,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKaszLdrJGM29x0q Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatListener.java - startLine: 566;startOffset: 22;endOffset: 38;endLine: 566,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKaszLdrJGM29x0r Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatListener.java - startLine: 582;startOffset: 26;endOffset: 42;endLine: 582,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKaszLdrJGM29x0s Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatListener.java - startLine: 628;startOffset: 22;endOffset: 38;endLine: 628,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKaszLdrJGM29x0t Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatListener.java - startLine: 642;startOffset: 22;endOffset: 38;endLine: 642,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKaszLdrJGM29x0u Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatListener.java - startLine: 656;startOffset: 22;endOffset: 38;endLine: 656,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYRYwKaszLdrJGM29x0v Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatListener.java - startLine: 681;startOffset: 30;endOffset: 46;endLine: 681,Maintenance (Code Smells)
